N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
8000000,2046,19444,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
16000000,1495,12943,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
32000000,1133,9042,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
64000000,816,5903,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
128000000,617,4110,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
256000000,448,2713,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
2000000,1934,18074,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
4000000,1434,12258,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
8000000,1119,8890,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
16000000,818,5918,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
32000000,620,4135,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
64000000,446,2699,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
128000000,338,1878,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
2000000,1056,8246,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
4000000,783,5594,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
8000000,611,4057,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
16000000,446,2705,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
32000000,338,1886,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
64000000,244,1232,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
128000000,184,860,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
256000000,134,564,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
1000000,848,6201,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
2000000,578,3772,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
4000000,428,2563,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
8000000,334,1856,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
16000000,244,1237,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
32000000,185,862,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
64000000,133,565,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
250000,865,6368,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
500000,610,4055,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
1000000,463,2838,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
2000000,316,1724,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
4000000,234,1171,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
8000000,183,847,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
16000000,134,565,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
16000000,134,565,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,48,40000,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,96,20000,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,192,10000,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,384,5000,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,768,2500,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,1536,1250,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,3072,625,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,6144,313,0.001,0.1,0.0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,48,10000,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,96,5000,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,192,2500,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,384,1250,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,768,625,0.001,0.1,0,constant,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
