N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C
10000000,384,320000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,768,160000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,1536,80000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,3072,40000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,6144,20000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,12288,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,24576,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,49152,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,98304,1250,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,196608,625,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,393216,313,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",944000000
10000000,192,160000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,384,80000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,768,40000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,1536,20000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,3072,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,6144,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,12288,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,24576,1250,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,49152,625,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,98304,312,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,196608,156,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",236000000
10000000,48,160000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,96,80000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,192,40000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,384,20000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,768,10000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,1536,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,3072,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,6144,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000  
10000000,12288,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,24576,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,49152,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,98304,78,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000
10000000,48,40000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,96,20000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,192,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,384,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,768,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,1536,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,3072,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,6144,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,12288,156,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,24576,78,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000
10000000,48,10000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,96,5000,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,192,2500,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,384,1250,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,768,625,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,1536,313,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,3072,156,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,6144,78,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,12288,39,0.001,0.1,0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000
10000000,24,5000,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,48,2500,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,96,1250,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,192,625,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,384,313,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
10000000,768,156,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000
